ensembl_gene_id,m_measure
PGSC0003DMG400021579,0.02235143690157016
PGSC0003DMG400011753,0.009518474489699223
PGSC0003DMG401024691,0.04146520110675722
PGSC0003DMG400021581,0.010349904953537879
PGSC0003DMG401025809,0.02003109176023349
PGSC0003DMG400021641,0.010288868205177167
PGSC0003DMG400011455,0.008650869678376314
PGSC0003DMG400021820,0.010906014100140044
PGSC0003DMG400011591,0.009180029166958766
PGSC0003DMG400010585,0.04697234176074382
PGSC0003DMG400011365,0.02397939398611129
PGSC0003DMG401022984,0.04802576594528147
PGSC0003DMG400021812,0.011065296816308431
PGSC0003DMG400021702,0.021508961965723307
PGSC0003DMG400011520,0.021871582693568058
PGSC0003DMG400011612,0.01958959448914695
PGSC0003DMG400010537,0.05005052177403683
PGSC0003DMG400021804,0.01012369388331953
PGSC0003DMG400010556,0.017827917500881845
PGSC0003DMG400011392,0.008798628697212232
PGSC0003DMG400021460,0.01030188211813594
PGSC0003DMG400011380,0.02316172254304456
PGSC0003DMG401027676,0.02030163225920304
PGSC0003DMG400010618,0.048436324333267465
PGSC0003DMG400010677,0.018759161333575296
PGSC0003DMG400021806,0.010398649015092293
PGSC0003DMG401024348,0.02007187648760435
PGSC0003DMG400021472,0.010562874438965659
PGSC0003DMG400011645,0.008435749251376806
PGSC0003DMG401027067,0.04302375053482311
PGSC0003DMG400021433,0.01013691158644942
PGSC0003DMG400010608,0.017533967327513424
PGSC0003DMG400011581,0.008476496936880885
PGSC0003DMG400021438,0.01042576823290282
PGSC0003DMG400011739,0.01575682517483159
PGSC0003DMG401027394,0.0207133484524628
PGSC0003DMG400011361,0.00872575540176417
PGSC0003DMG400021401,0.024313312142042565
PGSC0003DMG400010915,0.03952975895093835
PGSC0003DMG400021656,0.010403164241071138
PGSC0003DMG401025624,0.02033195686978241
PGSC0003DMG400010902,0.04581241862829712
PGSC0003DMG400010666,0.047804411438396546
PGSC0003DMG400011444,0.008538316207656478
PGSC0003DMG401026034,0.04382483058151194
PGSC0003DMG401026272,0.020063248765109773
PGSC0003DMG400021416,0.010790746080656482
PGSC0003DMG401025430,0.038534939488439654
PGSC0003DMG400010520,0.018305403731738445
PGSC0003DMG400010470,0.021446178589377515
PGSC0003DMG400010694,0.04763837323140938
PGSC0003DMG401026894,0.02842764391946952
PGSC0003DMG400010763,0.045898529996840055
PGSC0003DMG401025150,0.020981528687237894
PGSC0003DMG400021527,0.011073159455058969
PGSC0003DMG400021398,0.025776783492608937
PGSC0003DMG401024038,0.02090261612448804
PGSC0003DMG400011695,0.02477367891493146
PGSC0003DMG400010665,0.018097400665283203
PGSC0003DMG401027557,0.020417516446831235
PGSC0003DMG401025391,0.020013981439596835
PGSC0003DMG400010490,0.03532022457059012
PGSC0003DMG400021396,0.021914830788945117
PGSC0003DMG401023000,0.020192747530729874
PGSC0003DMG400010736,0.01989101008029287
PGSC0003DMG400011432,0.008899412489494617
PGSC0003DMG400011391,0.008514139210441475
PGSC0003DMG400021647,0.010378110786909252
PGSC0003DMG400011578,0.008365544333481828
PGSC0003DMG400011517,0.009187621942943643
PGSC0003DMG400010739,0.0186365424191274
PGSC0003DMG401026432,0.02064953679623811
PGSC0003DMG401027133,0.04959095919810011
PGSC0003DMG400011458,0.008369187878845928
PGSC0003DMG401026315,0.02004994516787322
PGSC0003DMG400021818,0.010481928346153094
PGSC0003DMG400021634,0.02427939859176916
PGSC0003DMG400021476,0.012319454167641464
PGSC0003DMG400021689,0.010578852066014565
PGSC0003DMG400021487,0.010264625135367621
PGSC0003DMG401023061,0.021063871606935226
PGSC0003DMG400021719,0.023337610973937682
PGSC0003DMG401028532,0.043052756268045174
PGSC0003DMG400011702,0.009082935091251125
PGSC0003DMG400021831,0.0110895900376054
PGSC0003DMG401024031,0.02056730710543119
PGSC0003DMG400021626,0.010210155047637991
PGSC0003DMG400021406,0.011627011784727068
PGSC0003DMG400011687,0.013690544090207311
PGSC0003DMG400021405,0.010168315970240928
PGSC0003DMG401025785,0.04153386884708468
PGSC0003DMG401024469,0.02022516288884906
PGSC0003DMG400010792,0.018008428273791056
PGSC0003DMG400011490,0.02059770784712395
PGSC0003DMG400011587,0.008646106083126418
PGSC0003DMG400021434,0.024391215711284758
PGSC0003DMG401024882,0.020246984169235996
PGSC0003DMG400021454,0.011227239949476341
PGSC0003DMG400011528,0.02224863908923727
PGSC0003DMG401027032,0.023035181804644225
PGSC0003DMG400021415,0.010261490269375962
PGSC0003DMG400021535,0.010117078663311737
PGSC0003DMG400011426,0.008811403793564225
PGSC0003DMG400010870,0.041476016857950986
PGSC0003DMG400010721,0.018078941166600256
PGSC0003DMG400010631,0.01832608315458266
PGSC0003DMG401028586,0.02074214367563509
PGSC0003DMG400021427,0.010456681450539717
PGSC0003DMG400010900,0.02019124206491936
PGSC0003DMG400010853,0.01861817063296519
PGSC0003DMG400010913,0.018604351924015924
PGSC0003DMG400011523,0.009001655451244425
PGSC0003DMG400021734,0.02396606324312086
PGSC0003DMG400021823,0.014657439293964876
PGSC0003DMG400021602,0.011084000136896047
PGSC0003DMG401023974,0.020729241961220835
PGSC0003DMG400010696,0.042059576232297766
PGSC0003DMG400021666,0.011669240929248537
PGSC0003DMG401028565,0.021995426420384028
PGSC0003DMG400021563,0.010908232706417026
PGSC0003DMG401022901,0.02058935324882584
PGSC0003DMG400021494,0.010175719285051094
PGSC0003DMG400010901,0.018241726036454523
PGSC0003DMG400021629,0.010318585747669456
PGSC0003DMG401024284,0.020962767776438226
PGSC0003DMG401024074,0.019989530378360813
