counts_ensembl_ids_ERR029909 counts_ensembl_ids_ERR029910 counts_ensembl_ids_ERR029911 counts_ensembl_ids_ERR029912 counts_ensembl_ids_ERR029913 counts_ensembl_ids_ERR029914 counts_ensembl_ids_ERR029915 counts_ensembl_ids_ERR029916 counts_ensembl_ids_ERR029917 counts_ensembl_ids_ERR029918 counts_ensembl_ids_ERR029920 counts_ensembl_ids_ERR029921 counts_ensembl_ids_ERR029922 counts_ensembl_ids_ERR029923 counts_ensembl_ids_ERR029924 counts_ensembl_ids_copy_ERR029909 counts_ensembl_ids_copy_ERR029910 counts_ensembl_ids_copy_ERR029911 counts_ensembl_ids_copy_ERR029912 counts_ensembl_ids_copy_ERR029913
ENSRNA049434199 224484.207646636 224484.207646636 224484.207646636 1750388.25638365 224484.207646636 11873.2162777943 224484.207646636 224484.207646636 9467.69126619826 224484.207646636 224484.207646636 3225734.4831618 224484.207646636 7121.361264372 224484.207646636 224484.207646636 224484.207646636 224484.207646636 1750388.25638365 224484.207646636
ENSRNA049434246 224484.207646636 224484.207646636 224484.207646636 17503.8825638365 224484.207646636 2374643.25555885 224484.207646636 224484.207646636 9467.69126619826 224484.207646636 224484.207646636 8064.3362079045 224484.207646636 3560680.632186 224484.207646636 224484.207646636 224484.207646636 224484.207646636 17503.8825638365 224484.207646636
ENSRNA049434252 224484.207646636 224484.207646636 224484.207646636 17503.8825638365 224484.207646636 11873.2162777943 224484.207646636 224484.207646636 2840307.37985948 224484.207646636 224484.207646636 8064.3362079045 224484.207646636 7121.361264372 224484.207646636 224484.207646636 224484.207646636 224484.207646636 17503.8825638365 224484.207646636
